priority,issue,evidence,impact,fix,urls,url_count,difficulty,expected_benefit,batch_fix,recommended_file_or_template
P1,移动端 PageSpeed 实验室指标失败,"38 个页面返回 fail。样例（URL、Performance、LCP）：[('https://theinvisiblecharacter.live/', 64, '6.4 s'), ('https://theinvisiblecharacter.live/index-fr', 85, '3.2 s'), ('https://theinvisiblecharacter.live/about', 65, '5.8 s'), ('https://theinvisiblecharacter.live/about-fr', 64, '5.8 s'), ('https://theinvisiblecharacter.live/help', 61, '6.7 s'), ('https://theinvisiblecharacter.live/help-fr', 64, '5.8 s'), ('https://theinvisiblecharacter.live/tools', 89, '3.0 s'), ('https://theinvisiblecharacter.live/discord-invisible-name-generator', 57, '8.1 s')]",慢速首屏和 LCP 会损害用户体验，并可能影响 Core Web Vitals 相关排名信号。,优先处理公共 CSS、首屏最大元素和阻塞资源；按模板聚类后复测。,https://theinvisiblecharacter.live/ | https://theinvisiblecharacter.live/about | https://theinvisiblecharacter.live/about-fr | https://theinvisiblecharacter.live/blank-text-generator | https://theinvisiblecharacter.live/blog/ | https://theinvisiblecharacter.live/blog/creative-ways-invisible-characters | https://theinvisiblecharacter.live/blog/discord-invisible-name | https://theinvisiblecharacter.live/blog/fortnite-invisible-name | https://theinvisiblecharacter.live/blog/fr/ | https://theinvisiblecharacter.live/blog/fr/discord-nom-invisible | https://theinvisiblecharacter.live/blog/fr/fortnite-nom-invisible | https://theinvisiblecharacter.live/blog/fr/guide-hashtags-instagram | https://theinvisiblecharacter.live/blog/fr/optimisation-stories-instagram | https://theinvisiblecharacter.live/blog/fr/strategies-croissance-instagram | https://theinvisiblecharacter.live/blog/fr/tiktok-profil-caracteres-invisibles | https://theinvisiblecharacter.live/blog/fr/whatsapp-messages-invisibles | https://theinvisiblecharacter.live/blog/instagram-invisible-characters | https://theinvisiblecharacter.live/blog/technical-guide-invisible-characters | https://theinvisiblecharacter.live/blog/tiktok-invisible-characters | https://theinvisiblecharacter.live/cookie-policy | https://theinvisiblecharacter.live/developer | https://theinvisiblecharacter.live/discord-invisible-name-generator | https://theinvisiblecharacter.live/fortnite-invisible-name-generator | https://theinvisiblecharacter.live/fr/caractere-invisible | https://theinvisiblecharacter.live/fr/message-vide-whatsapp | https://theinvisiblecharacter.live/fr/pseudo-invisible-discord | https://theinvisiblecharacter.live/fr/pseudo-invisible-tiktok | https://theinvisiblecharacter.live/fr/saut-de-ligne-instagram | https://theinvisiblecharacter.live/help | https://theinvisiblecharacter.live/help-fr | https://theinvisiblecharacter.live/index-fr | https://theinvisiblecharacter.live/instagram-invisible-character-generator | https://theinvisiblecharacter.live/invisible-name-generator | https://theinvisiblecharacter.live/privacy-policy | https://theinvisiblecharacter.live/terms-of-service | https://theinvisiblecharacter.live/tiktok-invisible-username-generator | https://theinvisiblecharacter.live/tools | https://theinvisiblecharacter.live/whatsapp-blank-message-generator,38,中到高,高,是,公共 CSS、JS、图片与页面模板
P1,Title Tag 警告或失败,"21 个页面受影响。样例：[('https://theinvisiblecharacter.live/index-fr', 'Title is 62 characters — may be truncated in SERPs (recommended 50-60). | Keyword ""Caractère invisible"" leads the title — good SEO positioning.'), ('https://theinvisiblecharacter.live/about-fr', 'Title is 70 characters — may be truncated in SERPs (recommended 50-60). | Partial match for ""À propos de TheInvisibleCharacter.live"" in title: ""À propos TheInvisibleCharacter.live - Outils Gratuits Mission & Équipe"". Script cannot determine semantic intent alignment. LLM review required: does this title cover the keyword\'s search intent? Is it grammatically natural?'), ('https://theinvisiblecharacter.live/help', 'Title is 66 characters — may be truncated in SERPs (recommended 50-60). | Keyword ""Help Center"" leads the title — good SEO positioning.'), ('https://theinvisiblecharacter.live/help-fr', 'Title is 70 characters — may be truncated in SERPs (recommended 50-60). | Keyword ""Centre d\'Aide"" leads the title — good SEO positioning.'), ('https://theinvisiblecharacter.live/whatsapp-blank-message-generator', 'Title is 49 characters — slightly short (recommended 50-60). | Keyword ""WhatsApp Blank Message Generator"" leads the title — good SEO positioning.')]",降低页面主题识别或搜索结果点击率。,逐页写唯一、约 50–60 字符且主题靠前的 Title。,https://theinvisiblecharacter.live/about-fr | https://theinvisiblecharacter.live/blank-text-generator | https://theinvisiblecharacter.live/blog/creative-ways-invisible-characters | https://theinvisiblecharacter.live/blog/fortnite-invisible-name | https://theinvisiblecharacter.live/blog/fr/ | https://theinvisiblecharacter.live/blog/fr/fortnite-nom-invisible | https://theinvisiblecharacter.live/blog/fr/guide-technique-caracteres-invisibles | https://theinvisiblecharacter.live/blog/fr/instagram-caracteres-invisibles | https://theinvisiblecharacter.live/blog/fr/whatsapp-messages-invisibles | https://theinvisiblecharacter.live/blog/instagram-invisible-characters | https://theinvisiblecharacter.live/blog/technical-guide-invisible-characters | https://theinvisiblecharacter.live/blog/whatsapp-invisible-messages | https://theinvisiblecharacter.live/cookie-policy | https://theinvisiblecharacter.live/fr/pseudo-invisible-discord | https://theinvisiblecharacter.live/help | https://theinvisiblecharacter.live/help-fr | https://theinvisiblecharacter.live/index-fr | https://theinvisiblecharacter.live/invisible-name-generator | https://theinvisiblecharacter.live/privacy-policy | https://theinvisiblecharacter.live/terms-of-service | https://theinvisiblecharacter.live/whatsapp-blank-message-generator,21,中,中到高,部分,各 HTML 页 head；共用 head 模板可批量
P1,多语言 hreflang 覆盖不完整,"10 个有明确英法对应页的 URL 缺少完整互惠 en/fr hreflang：https://theinvisiblecharacter.live/about, https://theinvisiblecharacter.live/about-fr, https://theinvisiblecharacter.live/discord-invisible-name-generator, https://theinvisiblecharacter.live/fr/message-vide-whatsapp, https://theinvisiblecharacter.live/fr/pseudo-invisible-discord, https://theinvisiblecharacter.live/fr/saut-de-ligne-instagram, https://theinvisiblecharacter.live/help, https://theinvisiblecharacter.live/help-fr, https://theinvisiblecharacter.live/instagram-invisible-character-generator, https://theinvisiblecharacter.live/whatsapp-blank-message-generator",Google 可能无法稳定匹配英语和法语版本，增加错误语言展示或页面竞争。,为确有对应语言版本的页面添加互相回链的 en、fr 和 x-default；无对应版本不要伪造。,https://theinvisiblecharacter.live/about | https://theinvisiblecharacter.live/about-fr | https://theinvisiblecharacter.live/discord-invisible-name-generator | https://theinvisiblecharacter.live/fr/message-vide-whatsapp | https://theinvisiblecharacter.live/fr/pseudo-invisible-discord | https://theinvisiblecharacter.live/fr/saut-de-ligne-instagram | https://theinvisiblecharacter.live/help | https://theinvisiblecharacter.live/help-fr | https://theinvisiblecharacter.live/instagram-invisible-character-generator | https://theinvisiblecharacter.live/whatsapp-blank-message-generator,10,中,高,部分,公共 head 模板与语言映射
P2,Meta Description 警告或失败,"20 个页面受影响。样例：[('https://theinvisiblecharacter.live/index-fr', 'Length 174 chars — may be truncated in SERPs (recommended <= 160). | Keyword ""Caractère invisible"" present in meta description. | LLM review required: (1) complete sentence? (2) mentions concrete result not vague fluff? (3) keyword used naturally, not stuffed? (4) more specific than a typical competitor?'), ('https://theinvisiblecharacter.live/about', 'Length 161 chars — may be truncated in SERPs (recommended <= 160). | Keyword ""About TheInvisibleCharacter.live"" present in meta description. | LLM review required: (1) complete sentence? (2) mentions concrete result not vague fluff? (3) keyword used naturally, not stuffed? (4) more specific than a typical competitor?'), ('https://theinvisiblecharacter.live/about-fr', 'Length 170 chars — may be truncated in SERPs (recommended <= 160). | Partial match for ""À propos de TheInvisibleCharacter.live"" in meta description. LLM review required: check if a synonym covers the intent naturally. | LLM review required: (1) complete sentence? (2) mentions concrete result not vague fluff? (3) keyword used naturally, not stuffed? (4) more specific than a typical competitor?'), ('https://theinvisiblecharacter.live/help', 'Length 168 chars — may be truncated in SERPs (recommended <= 160). | Keyword ""Help Center"" present in meta description. | LLM review required: (1) complete sentence? (2) mentions concrete result not vague fluff? (3) keyword used naturally, not stuffed? (4) more specific than a typical competitor?'), ('https://theinvisiblecharacter.live/discord-invisible-name-generator', 'Length 116 chars — slightly short (recommended 120-160). | Partial match for ""Discord Invisible Name Generator"" in meta description. LLM review required: check if a synonym covers the intent naturally. | LLM review required: (1) complete sentence? (2) mentions concrete result not vague fluff? (3) keyword used naturally, not stuffed? (4) more specific than a typical competitor?')]",降低页面主题识别或搜索结果点击率。,写唯一 120–160 字符描述，具体说明页面结果。,https://theinvisiblecharacter.live/about | https://theinvisiblecharacter.live/about-fr | https://theinvisiblecharacter.live/blank-text-generator | https://theinvisiblecharacter.live/blog/ | https://theinvisiblecharacter.live/blog/creative-ways-invisible-characters | https://theinvisiblecharacter.live/blog/discord-invisible-name | https://theinvisiblecharacter.live/blog/fr/ | https://theinvisiblecharacter.live/blog/fr/discord-nom-invisible | https://theinvisiblecharacter.live/blog/fr/strategies-croissance-instagram | https://theinvisiblecharacter.live/blog/fr/tiktok-profil-caracteres-invisibles | https://theinvisiblecharacter.live/blog/tiktok-invisible-characters | https://theinvisiblecharacter.live/blog/whatsapp-invisible-messages | https://theinvisiblecharacter.live/developer | https://theinvisiblecharacter.live/discord-invisible-name-generator | https://theinvisiblecharacter.live/fr/message-vide-whatsapp | https://theinvisiblecharacter.live/fr/pseudo-invisible-tiktok | https://theinvisiblecharacter.live/fr/saut-de-ligne-instagram | https://theinvisiblecharacter.live/help | https://theinvisiblecharacter.live/index-fr | https://theinvisiblecharacter.live/tiktok-invisible-username-generator,20,中,中到高,部分,各 HTML 页 head
P2,JSON-LD 结构化数据不完整或不一致,"12 个页面受影响。样例：[('https://theinvisiblecharacter.live/', 'Found 1 JSON-LD block(s): WebApplication. Multilingual page lacks schema inLanguage.'), ('https://theinvisiblecharacter.live/index-fr', 'Found 1 JSON-LD block(s): WebApplication. Multilingual page lacks schema inLanguage.'), ('https://theinvisiblecharacter.live/tiktok-invisible-username-generator', 'Found 1 JSON-LD block(s): WebApplication. Multilingual page lacks schema inLanguage.'), ('https://theinvisiblecharacter.live/fr/pseudo-invisible-tiktok', 'Found 1 JSON-LD block(s): WebApplication. Multilingual page lacks schema inLanguage.'), ('https://theinvisiblecharacter.live/blog/instagram-invisible-characters', 'Found 1 JSON-LD block(s): Article. Multilingual page lacks schema inLanguage.'), ('https://theinvisiblecharacter.live/blog/fortnite-invisible-name', 'Found 1 JSON-LD block(s): Article. Multilingual page lacks schema inLanguage.')]",Google 可能忽略结构化数据或无法确认语言和主实体。,修正 JSON-LD 类型、必填字段，并使 inLanguage、url、mainEntityOfPage 与当前 Canonical 一致。,https://theinvisiblecharacter.live/ | https://theinvisiblecharacter.live/blog/discord-invisible-name | https://theinvisiblecharacter.live/blog/fortnite-invisible-name | https://theinvisiblecharacter.live/blog/fr/discord-nom-invisible | https://theinvisiblecharacter.live/blog/fr/fortnite-nom-invisible | https://theinvisiblecharacter.live/blog/fr/instagram-caracteres-invisibles | https://theinvisiblecharacter.live/blog/fr/tiktok-profil-caracteres-invisibles | https://theinvisiblecharacter.live/blog/instagram-invisible-characters | https://theinvisiblecharacter.live/blog/tiktok-invisible-characters | https://theinvisiblecharacter.live/fr/pseudo-invisible-tiktok | https://theinvisiblecharacter.live/index-fr | https://theinvisiblecharacter.live/tiktok-invisible-username-generator,12,中,中,是,公共 JSON-LD 模板与内容页 Schema
P2,标题层级异常,5 个页面存在 H1 数量异常或标题级别跳跃。,削弱正文结构可读性和主题层级表达。,保留一个 H1，并按 H2→H3 顺序组织从属章节。,https://theinvisiblecharacter.live/blank-text-generator | https://theinvisiblecharacter.live/blog/fr/guide-technique-caracteres-invisibles | https://theinvisiblecharacter.live/blog/fr/whatsapp-messages-invisibles | https://theinvisiblecharacter.live/blog/technical-guide-invisible-characters | https://theinvisiblecharacter.live/blog/whatsapp-invisible-messages,5,低,中,部分,页面内容模板
P2,正文信息量偏低,"5 个工具、内容或多语言页主内容少于 300 词。样例：[('https://theinvisiblecharacter.live/invisible-name-generator', 244), ('https://theinvisiblecharacter.live/blog/fr/discord-nom-invisible', 295), ('https://theinvisiblecharacter.live/blog/fr/optimisation-stories-instagram', 260), ('https://theinvisiblecharacter.live/blog/fr/guide-hashtags-instagram', 257), ('https://theinvisiblecharacter.live/blog/fr/strategies-croissance-instagram', 275)]",可能不足以完整回答搜索意图，但字数本身不是排名因素。,补齐真实使用步骤、限制、例子和 FAQ；不要机械凑字数。,https://theinvisiblecharacter.live/blog/fr/discord-nom-invisible | https://theinvisiblecharacter.live/blog/fr/guide-hashtags-instagram | https://theinvisiblecharacter.live/blog/fr/optimisation-stories-instagram | https://theinvisiblecharacter.live/blog/fr/strategies-croissance-instagram | https://theinvisiblecharacter.live/invisible-name-generator,5,高,中,否,逐页正文
P2,关键词定位冲突与内部竞争风险,"[Inference] 2 组页面从 Title/H1 推断出相同主题：{'caractère invisible': ['https://theinvisiblecharacter.live/index-fr', 'https://theinvisiblecharacter.live/fr/caractere-invisible'], 'discord invisible name': ['https://theinvisiblecharacter.live/discord-invisible-name-generator', 'https://theinvisiblecharacter.live/blog/discord-invisible-name']}",相近页面可能互相竞争，但没有 GSC 查询×页面数据时不能确认真实竞争。,结合 GSC 查询×页面数据确认真实竞争；为每页固定唯一意图，必要时合并或重写内部链接。,https://theinvisiblecharacter.live/blog/discord-invisible-name | https://theinvisiblecharacter.live/discord-invisible-name-generator | https://theinvisiblecharacter.live/fr/caractere-invisible | https://theinvisiblecharacter.live/index-fr,4,高,中到高,否,页面 Title/H1/正文与内部链接
P2,H1 警告或失败,"2 个页面受影响。样例：[('https://theinvisiblecharacter.live/blog/', 'H1 is very short (4 chars): ""Blog"". Likely brand-name only — add the primary keyword to signal page topic.'), ('https://theinvisiblecharacter.live/blog/fr/instagram-caracteres-invisibles', 'H1 is 78 characters — consider trimming to under 70 for readability.')]",降低页面主题识别或搜索结果点击率。,每页保留一个与页面主题一致的 H1。,https://theinvisiblecharacter.live/blog/ | https://theinvisiblecharacter.live/blog/fr/instagram-caracteres-invisibles,2,中,中到高,部分,页面主内容模板
P2,内部链接不足,2 个可索引页面少于 3 个唯一内部链接。,降低页面发现、上下文传递和用户继续浏览的机会。,增加指向相关工具、指南和信任页的描述性上下文链接。,https://theinvisiblecharacter.live/privacy-policy | https://theinvisiblecharacter.live/terms-of-service,2,中,中,部分,正文推荐模块或页脚
